9.582,1.401,2.897,0.3722,-0.2196,0.5537,29.20
9.570,1.027,2.744,0.1657,-0.2225,0.5833,29.20
9.797,0.850,2.612,-0.2870,-0.1852,0.5191,29.20
9.373,1.001,2.667,-0.4088,-0.2060,0.5079,29.20
10.388,1.712,2.758,-0.3214,-0.2867,0.4764,29.19
9.464,1.494,2.851,-0.1695,-0.3011,0.4242,29.20
10.238,1.496,2.440,0.1148,-0.3440,0.3597,29.19
9.692,0.156,2.413,0.2236,-0.2443,0.0693,29.19
10.060,1.867,2.478,0.1990,-0.2441,-0.1564,29.20
9.402,1.834,2.564,0.2334,-0.2497,0.4247,29.20
9.084,1.535,2.394,0.1127,-0.1916,0.4970,29.19
9.448,0.656,2.447,0.0714,-0.0962,0.4261,29.18
10.513,1.451,1.161,0.5263,-0.2966,0.9052,29.19
11.238,1.583,2.021,-0.0216,-0.0472,0.6504,29.20
11.095,1.963,2.231,-0.1098,-0.0666,0.8242,29.19
8.959,-1.010,2.624,-0.2020,-0.0077,0.9260,29.21
8.780,0.821,2.330,-0.0373,0.0738,1.2566,29.20
8.985,-0.479,2.191,-0.4407,0.2670,0.7893,29.19
10.120,-0.419,2.162,-0.4455,0.3256,0.6328,29.20
10.606,-0.421,2.454,-0.3214,0.2550,0.6217,29.19
10.511,-0.515,2.684,-0.4018,0.2534,0.7440,29.18
9.613,-0.316,2.717,-0.4167,0.2505,0.6403,29.20
9.462,-1.250,2.691,-0.3813,0.2092,0.4770,29.18
9.153,-1.293,2.492,-0.3480,0.1743,0.4349,29.19
10.276,-0.611,2.464,-0.2777,0.1092,0.2534,29.20
10.652,-0.668,2.811,-0.2699,0.0117,0.1945,29.19
9.675,-1.386,2.818,-0.3408,0.0059,0.0831,29.18
9.522,-1.676,2.665,-0.4551,0.0501,-0.0298,29.19
9.416,-1.784,2.519,-0.5460,0.0786,-0.0935,29.19
9.282,-1.595,2.523,-0.6307,0.0903,-0.1812,29.20
9.120,-1.381,2.464,-0.6238,0.0805,-0.1977,29.19
9.677,-0.797,2.433,-0.4791,0.0965,-0.1474,29.18
9.613,-1.393,2.555,-0.4167,0.0970,-0.1588,29.19
9.347,-1.875,2.389,-0.4048,0.0197,-0.2382,29.18
9.414,-2.052,2.251,-0.3224,-0.0123,-0.2654,29.19
9.517,-2.229,2.342,-0.3435,-0.0245,-0.3307,29.20
10.013,-2.143,2.409,-0.4351,-0.0528,-0.3472,29.18
10.582,-1.863,2.318,-0.5401,-0.0597,-0.3445,29.18
10.707,-1.750,2.286,-0.4770,-0.1015,-0.2675,29.19
10.329,-2.076,2.318,-0.5281,-0.0922,-0.2422,29.19
10.058,-1.966,2.100,-0.6518,-0.0994,-0.2478,29.17
9.960,-1.870,2.193,-0.7586,-0.0693,-0.2726,29.19
