-7.17,0.38,7.34,10.27,IMPACT
-5.14,-0.42,6.22,8.08,IMPACT
-4.51,0.37,5.70,7.28,IMPACT
-4.97,1.75,5.84,7.86,IMPACT
-5.72,3.15,5.74,8.70,IMPACT
-5.69,3.43,5.87,8.86,IMPACT
-5.36,3.71,6.19,8.99,IMPACT
-4.70,3.22,6.36,8.53,IMPACT
-5.63,3.50,6.92,9.58,IMPACT
-6.03,3.21,7.79,10.36,IMPACT
-6.43,2.30,8.09,10.59,IMPACT
-6.67,1.26,7.64,10.22,IMPACT
-6.78,0.93,7.43,10.10,IMPACT
-6.73,1.62,8.53,10.99,IMPACT
-6.23,2.13,9.19,11.31,IMPACT
-6.33,2.43,8.73,11.05,IMPACT
-6.77,2.70,7.89,10.74,IMPACT
-6.33,2.94,7.87,10.52,IMPACT
-5.59,2.97,7.86,10.09,IMPACT
-5.54,2.76,7.25,9.54,IMPACT
-6.11,2.58,6.48,9.28,IMPACT
-5.83,2.46,6.50,9.07,IMPACT
-5.55,2.58,6.67,9.05,IMPACT
-5.22,2.65,7.02,9.15,IMPACT
-5.03,2.60,7.41,9.32,IMPACT
-5.22,2.40,7.58,9.51,IMPACT
-5.47,2.01,7.18,9.24,IMPACT
-5.48,1.82,7.00,9.08,IMPACT
-5.60,1.88,6.83,9.03,IMPACT
-5.52,2.23,6.85,9.07,IMPACT
-5.39,2.78,7.36,9.54,IMPACT
-5.50,3.12,7.68,9.95,IMPACT
-5.76,3.09,7.30,9.79,IMPACT
-5.95,2.69,6.98,9.56,IMPACT
-5.83,2.28,6.51,9.03,IMPACT
-5.33,2.22,6.71,8.85,IMPACT
-5.33,2.41,7.10,9.20,IMPACT
-5.16,2.44,7.24,9.22,IMPACT
-4.93,2.46,7.70,9.47,IMPACT
-5.03,2.28,7.77,9.53,IMPACT
-5.62,2.03,7.20,9.36,IMPACT
-5.89,2.05,7.06,9.42,IMPACT
-5.46,2.32,7.71,9.73,IMPACT
-5.59,2.61,8.04,10.13,IMPACT
-5.49,2.57,7.96,10.01,IMPACT
-5.71,2.63,7.80,10.01,IMPACT
-5.22,2.20,7.33,9.26,IMPACT
-4.98,1.97,6.80,8.65,IMPACT
-4.93,1.67,6.37,8.22,IMPACT
-5.45,2.15,5.99,8.37,IMPACT
-4.63,2.26,6.22,8.08,IMPACT
-3.52,2.30,6.04,7.36,IMPACT
-2.72,0.99,5.41,6.14,IMPACT
-0.49,-0.72,3.42,3.53,IMPACT
2.42,-3.23,-0.75,4.11,IMPACT
1.68,-2.79,-1.52,3.59,IMPACT
-1.51,-0.47,0.73,1.74,IMPACT
-2.67,0.57,1.99,3.38,IMPACT
-0.68,-0.80,0.96,1.42,IMPACT
1.09,-1.02,-0.60,1.61,IMPACT
1.03,0.17,-0.66,1.23,IMPACT
0.79,1.17,-0.23,1.43,IMPACT
0.47,1.88,0.59,2.02,IMPACT
-0.09,2.55,1.49,2.95,IMPACT
0.06,3.08,1.30,3.34,IMPACT
0.06,2.88,1.73,3.36,IMPACT
-19.34,-12.82,-14.12,27.16,IMPACT
7.38,3.32,-18.95,20.60,IMPACT
-5.38,-11.88,2.45,13.27,IMPACT
-4.21,8.15,10.53,13.96,IMPACT
-10.87,-3.12,0.84,11.35,IMPACT
-1.15,6.21,2.37,6.75,IMPACT
13.14,-5.69,-13.52,19.70,IMPACT
7.19,-7.71,-1.31,10.62,IMPACT
5.16,-1.01,37.52,37.89,IMPACT
-13.40,7.65,31.23,34.83,IMPACT
-3.67,6.44,9.42,11.99,IMPACT
-3.69,2.71,10.54,11.49,IMPACT
-0.55,4.22,8.83,9.80,IMPACT
1.33,2.21,14.53,14.75,IMPACT
-2.66,-0.31,11.22,11.53,IMPACT
-1.88,-0.48,9.19,9.39,IMPACT
-0.81,0.48,10.89,10.93,IMPACT
-0.57,0.32,9.35,9.38,IMPACT
-0.74,0.39,10.03,10.06,IMPACT
-0.89,0.38,10.16,10.20,IMPACT
-0.70,0.39,9.78,9.81,IMPACT
-0.81,0.43,9.91,9.96,IMPACT
-0.74,0.44,10.04,10.08,IMPACT
-0.72,0.48,9.99,10.03,IMPACT
-0.75,0.46,9.85,9.89,IMPACT
-0.74,0.47,9.92,9.96,IMPACT
-0.80,0.49,9.94,9.98,IMPACT
-0.73,0.47,9.91,9.95,IMPACT
-0.72,0.47,9.90,9.94,IMPACT
-0.73,0.50,9.91,9.95,IMPACT
-0.74,0.50,9.96,10.00,IMPACT
-0.76,0.52,9.90,9.94,IMPACT
-0.75,0.51,9.92,9.97,IMPACT
-0.74,0.55,9.96,10.00,IMPACT
-0.73,0.52,9.91,9.95,IMPACT
-0.75,0.53,9.92,9.96,IMPACT
-0.75,0.57,9.91,9.96,IMPACT
-0.77,0.56,9.94,9.98,IMPACT
-0.73,0.56,9.94,9.99,IMPACT
-0.72,0.57,9.90,9.95,IMPACT
-0.74,0.54,9.92,9.96,IMPACT
-0.74,0.60,9.92,9.96,IMPACT
-0.80,0.60,9.93,9.98,IMPACT
-0.76,0.60,9.94,9.98,IMPACT
-0.75,0.57,9.91,9.96,IMPACT
-0.73,0.56,9.90,9.94,IMPACT
-0.82,0.60,9.93,9.99,IMPACT
-0.73,0.56,9.94,9.99,IMPACT
-0.73,0.56,9.88,9.92,IMPACT
-0.72,0.55,9.92,9.97,IMPACT
-0.76,0.62,9.93,9.97,IMPACT
-0.81,0.61,9.93,9.98,IMPACT
-0.72,0.56,9.92,9.96,IMPACT
-0.70,0.53,9.91,9.95,IMPACT
-0.72,0.51,9.92,9.96,IMPACT
-0.76,0.61,9.90,9.95,IMPACT
-0.82,0.62,9.85,9.90,IMPACT
