541757,31.31,54.42,10.080,-0.378,0.390,-0.233,0.311,-0.136,10.094,10.391
541806,31.33,54.41,10.070,-0.821,0.192,-0.280,0.576,-0.071,10.105,10.363
541856,31.32,54.37,9.833,-0.594,0.814,-0.213,0.400,-0.007,9.884,10.315
541905,31.32,54.40,10.154,-0.527,0.663,-0.072,0.485,0.017,10.189,10.302
541953,31.31,54.39,10.166,-0.199,1.168,-0.180,0.460,0.099,10.235,10.295
542002,31.34,54.40,9.814,-0.680,1.413,-0.131,0.531,0.040,9.938,10.260
542051,31.32,54.44,9.613,-0.110,1.765,-0.160,0.642,-0.007,9.774,10.211
542100,31.33,54.43,9.445,-0.194,1.836,-0.181,0.614,0.022,9.624,10.152
542149,31.31,54.38,9.199,-0.582,1.920,-0.049,0.781,-0.131,9.415,10.079
542198,31.32,54.37,9.349,-0.127,2.579,-0.163,0.483,-0.024,9.699,10.041
542247,31.32,54.37,9.096,-0.120,2.526,0.036,0.582,-0.088,9.441,9.981
542296,31.32,54.35,8.861,-0.105,2.811,-0.158,0.495,-0.054,9.297,9.912
542345,31.33,54.39,8.710,0.041,3.323,0.015,0.468,-0.140,9.323,9.853
542394,31.33,54.39,9.189,-0.079,3.338,-0.186,0.486,-0.216,9.777,9.846
542444,31.32,54.40,8.859,-0.244,3.282,-0.251,0.325,-0.131,9.450,9.806
542494,31.32,54.40,8.545,-0.622,3.500,-0.189,0.437,-0.240,9.255,9.751
542544,31.33,54.41,9.309,-0.316,3.919,-0.201,0.346,-0.260,10.105,9.786
542594,31.32,54.41,9.373,-0.350,4.669,-0.205,0.286,-0.141,10.477,9.856
542644,31.33,54.40,9.017,-0.364,4.017,-0.096,0.336,-0.208,9.878,9.858
542694,31.32,54.39,9.263,-0.443,4.487,-0.145,0.336,-0.152,10.302,9.902
542745,31.32,54.42,8.126,-0.232,4.982,-0.030,0.208,-0.134,9.535,9.865
542797,31.32,54.40,8.859,0.120,4.398,0.014,0.258,-0.061,9.891,9.868
542847,31.31,54.39,8.854,0.120,4.741,0.072,0.097,-0.038,10.044,9.886
542896,31.32,54.41,8.557,0.498,4.918,0.031,0.230,-0.077,9.882,9.885
542948,31.31,54.45,9.055,0.237,5.315,-0.087,0.171,-0.087,10.502,9.947
542998,31.32,54.45,8.681,0.314,5.267,-0.081,0.082,-0.042,10.159,9.968
543048,31.32,54.37,8.739,0.074,5.488,-0.094,0.177,0.005,10.319,10.003
543098,31.31,54.36,8.339,0.369,5.598,-0.115,0.075,0.023,10.050,10.008
543147,31.31,54.45,8.444,-0.060,5.531,-0.109,0.007,-0.014,10.094,10.017
543196,31.32,54.45,8.535,0.412,5.511,-0.091,-0.025,-0.003,10.168,10.032
543245,31.33,54.47,8.282,0.160,5.452,-0.062,-0.017,-0.051,9.916,10.020
543294,31.33,54.48,8.574,0.359,5.351,-0.056,-0.053,-0.067,10.113,10.029
543344,31.32,54.47,8.487,0.517,5.425,-0.117,0.029,-0.070,10.087,10.035
543394,31.31,54.44,8.590,0.395,5.284,-0.160,-0.056,-0.096,10.093,10.041
543444,31.30,54.41,8.849,0.630,5.612,-0.236,-0.064,-0.075,10.497,10.087
543494,31.31,54.44,8.768,0.905,5.420,-0.305,0.186,-0.083,10.348,10.113
543544,31.32,54.46,8.610,0.852,6.718,-0.426,0.229,-0.083,10.954,10.197
543594,31.33,54.49,8.337,1.135,6.065,-0.636,0.137,0.034,10.371,10.214
543644,31.31,54.45,7.853,1.132,5.267,-0.686,0.238,-0.033,9.523,10.145
543694,31.30,54.46,8.375,0.266,5.485,-0.587,-0.162,-0.104,10.015,10.132
543744,31.31,54.46,8.377,-0.311,5.394,-0.483,-0.040,-0.277,9.969,10.116
543794,31.32,54.48,8.408,-0.326,5.430,-0.437,-0.005,-0.350,10.015,10.106
543844,31.30,54.47,8.215,-0.445,5.983,-0.146,0.163,-0.390,10.172,10.112
543894,31.29,54.49,7.805,-0.278,5.080,-0.151,-0.258,-0.207,9.317,10.033
543944,31.31,54.49,8.301,0.828,5.375,0.146,-0.269,-0.129,9.924,10.022
543994,31.32,54.52,7.946,0.424,5.078,-0.054,0.052,-0.058,9.440,9.964
544045,31.31,54.53,9.012,0.709,5.578,0.022,-0.514,-0.073,10.622,10.030
544096,31.31,54.53,9.088,0.685,5.346,-0.183,-0.410,0.103,10.566,10.083
544148,31.30,54.50,8.928,0.826,4.913,-0.095,0.014,-0.029,10.224,10.097
544198,31.30,54.49,9.373,0.388,5.650,-0.370,-0.067,-0.123,10.951,10.183
544247,31.31,54.49,9.246,0.644,5.545,-0.340,-0.338,-0.208,10.801,10.245
544297,31.32,54.50,10.762,-0.364,6.608,-0.599,0.148,-0.263,12.634,10.483
544347,31.31,54.52,10.017,-0.826,6.048,-1.029,-0.167,-0.066,11.731,10.608
544398,31.32,54.50,10.745,-3.098,4.362,-0.707,-0.932,0.108,12.004,10.748
544447,31.31,54.57,12.091,-3.634,3.603,-0.496,-0.751,0.193,13.129,10.986
544497,31.33,54.52,11.392,-4.166,3.620,-0.112,-0.539,0.260,12.658,11.153
544547,31.31,54.51,9.694,-3.340,3.431,0.530,0.133,0.015,10.812,11.119
544596,31.32,54.48,10.408,-2.188,4.985,0.475,0.307,-0.228,11.745,11.182
544646,31.30,54.50,9.546,-2.535,4.070,0.368,-0.250,-0.304,10.682,11.132
544695,31.30,54.50,9.258,-1.044,4.266,0.241,-0.069,-0.369,10.247,11.043
544744,31.31,54.50,9.658,-1.032,4.034,0.391,-0.048,-0.367,10.518,10.991
544794,31.30,54.47,10.041,-0.294,4.238,0.447,-0.237,-0.204,10.903,10.982
544845,31.29,54.46,9.352,-0.098,4.554,0.478,0.174,-0.136,10.402,10.924
544894,31.31,54.48,9.074,-0.263,4.243,0.461,0.127,-0.021,10.020,10.834
544944,31.30,54.49,8.815,0.429,4.319,0.521,0.151,0.157,9.826,10.733
544994,31.30,54.45,8.693,-0.077,3.929,0.771,0.031,0.255,9.540,10.614
545044,31.29,54.43,8.502,-0.019,3.661,0.788,0.217,0.379,9.256,10.478
545094,31.30,54.46,8.279,0.101,3.824,0.763,0.088,0.528,9.120,10.342
545144,31.30,54.47,7.973,-0.168,3.170,0.964,0.097,0.558,8.581,10.166
545194,31.31,54.43,7.501,-0.773,2.799,0.899,0.195,0.567,8.043,9.954
545244,31.27,54.43,7.058,-1.132,1.911,1.125,0.290,0.496,7.399,9.698
545294,31.30,54.45,8.382,-1.319,2.947,1.179,-0.256,0.427,8.983,9.627
545344,31.28,54.46,9.057,-1.092,3.402,1.115,0.116,0.479,9.737,9.638
